Effect	EffectContext fields used
AudioBloomEffect	audio, brightness, centerPoint, gHue, ledCount, leds, palette, saturation, speed
AudioWaveformEffect	audio, brightness, gHue, ledCount, leds, palette, saturation, speed
BPMEffect	audio, brightness, gHue, getSafeDeltaSeconds, ledCount, leds, palette, speed
BreathingEffect	audio, deltaTimeMs, gHue, ledCount, leds, palette, speed
ChevronWavesEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, mood, palette, speed
ChromaticInterferenceEffect	brightness, complexity, gHue, ledCount, leds, palette, speed
ConfettiEffect	fadeAmount, gHue, ledCount, leds, palette
FireEffect	ledCount, leds, speed
HeartbeatEffect	fadeAmount, gHue, ledCount, leds, palette, speed
InterferenceEffect	gHue, ledCount, leds, palette, speed
JuggleEffect	fadeAmount, gHue, ledCount, leds, saturation
LGPAnisotropicCloakEffect	gHue, ledCount, leds, saturation, speed
LGPAudioTestEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, palette
LGPAuroraBorealisEffect	brightness, fadeAmount, ledCount, leds, palette, speed
LGPBassBreathEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, palette, totalTimeMs
LGPBeatPulseEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, palette
LGPBioluminescentWavesEffect	brightness, fadeAmount, frameNumber, ledCount, leds, speed
LGPBirefringentShearEffect	brightness, gHue, ledCount, leds, saturation, speed
LGPBoxWaveEffect	brightness, fadeAmount, gHue, ledCount, leds, palette, speed
LGPCausticFanEffect	brightness, gHue, ledCount, leds, saturation, speed
LGPChladniHarmonicsEffect	brightness, fadeAmount, gHue, ledCount, leds, saturation, speed
LGPChordGlowEffect	audio, brightness, deltaTimeMs, gHue, ledCount, leds, palette, speed
LGPChromaticAberrationEffect	brightness, ledCount, leds, speed
LGPChromaticLensEffect	brightness, complexity, gHue, ledCount, leds, palette, speed
LGPChromaticPulseEffect	brightness, complexity, gHue, ledCount, leds, palette, speed
LGPChromaticShearEffect	brightness, complexity, frameNumber, ledCount, leds, palette, speed, variation
LGPColorAcceleratorEffect	brightness, fadeAmount, ledCount, leds, speed
